               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082085,             0.01939,            0.030546,                   0,                   0,                   0,                   0,            0.038969,           0.0091284,            0.013386,            0.070278,           0.0033025,           0.0033025
                   1,            0.070843,            0.015749,            0.028031,           0.0012889,            0.074074,          0.00039727,          0.00012084,            0.042794,           0.0077537,            0.011782,            0.040245,            0.006603,            0.006603
                   2,            0.066886,             0.01244,             0.02532,          6.1032e-06,            0.012346,          2.0416e-05,          3.0593e-06,             0.03871,           0.0028071,            0.010618,            0.010179,           0.0098704,           0.0098704
                   3,            0.061251,            0.011081,            0.022193,          3.2024e-05,            0.013889,          1.6769e-05,          1.6769e-06,            0.042642,           0.0015614,            0.010492,           0.0098515,           0.0098515,           0.0098515
                   4,            0.062866,            0.010494,            0.020626,          0.00038843,             0.37346,          0.00095981,          0.00019772,            0.033824,           0.0025054,            0.008868,           0.0098515,           0.0098515,           0.0098515
                   5,            0.059421,           0.0099881,            0.018897,           0.0002556,              0.1929,          0.00038449,          5.7138e-05,            0.036975,           0.0018172,           0.0086304,            0.009802,            0.009802,            0.009802
                   6,            0.056294,            0.010008,            0.018315,          0.00030244,             0.28858,          0.00035039,          9.1832e-05,            0.038293,           0.0026394,           0.0075041,           0.0097525,           0.0097525,           0.0097525
                   7,             0.05485,            0.010033,            0.017223,          0.00033228,             0.32407,          0.00056706,          0.00015449,            0.033282,           0.0031088,            0.009387,            0.009703,            0.009703,            0.009703
                   8,            0.051942,           0.0098955,            0.016363,          0.00075675,             0.46914,           0.0032716,           0.0007767,            0.030855,           0.0022724,            0.014089,           0.0096535,           0.0096535,           0.0096535
                   9,            0.053712,           0.0097187,            0.016437,           0.0003364,             0.16204,          0.00027812,          6.8196e-05,            0.032672,           0.0018099,           0.0087607,            0.009604,            0.009604,            0.009604
                  10,            0.053921,           0.0097881,            0.016782,          0.00099365,             0.49074,           0.0043981,          0.00059857,            0.032298,           0.0027001,           0.0069938,           0.0095545,           0.0095545,           0.0095545
                  11,            0.051461,           0.0095004,            0.013519,           0.0011318,             0.60494,           0.0022314,          0.00088242,             0.02339,           0.0032641,            0.010057,            0.009505,            0.009505,            0.009505
                  12,            0.045098,           0.0095004,             0.01352,           0.0026125,             0.66667,             0.11458,            0.033408,            0.021215,           0.0019277,           0.0026827,           0.0094555,           0.0094555,           0.0094555
                  13,            0.046551,           0.0095163,            0.012938,                   0,                   0,                   0,                   0,            0.044155,           0.0011849,            0.027847,            0.009406,            0.009406,            0.009406
                  14,            0.047708,            0.010043,            0.011343,             0.02308,              0.5463,            0.034884,            0.011249,            0.022871,           0.0025701,           0.0036979,           0.0093565,           0.0093565,           0.0093565
                  15,            0.048813,           0.0096022,             0.01134,           0.0051096,             0.66667,            0.028516,           0.0093998,            0.021847,           0.0020742,           0.0051264,            0.009307,            0.009307,            0.009307
                  16,            0.044198,           0.0094803,            0.011565,            0.027561,             0.58333,            0.078332,            0.028901,            0.020889,            0.002029,           0.0017917,           0.0092575,           0.0092575,           0.0092575
                  17,            0.046438,           0.0094025,            0.011206,            0.010163,             0.66667,            0.063076,            0.021841,            0.022417,           0.0020921,           0.0018188,            0.009208,            0.009208,            0.009208
                  18,            0.043316,           0.0092191,            0.011048,            0.033663,             0.61265,             0.10599,            0.030974,            0.019278,           0.0021054,           0.0029296,           0.0091585,           0.0091585,           0.0091585
                  19,            0.042081,           0.0093825,            0.010721,            0.032016,             0.41512,            0.052557,             0.02116,            0.021362,            0.002165,           0.0033347,            0.009109,            0.009109,            0.009109
                  20,            0.042189,            0.009523,            0.010202,            0.001642,            0.012346,          0.00085256,          0.00051154,            0.028826,           0.0020899,            0.026142,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044463,           0.0090559,           0.0090287,            0.040483,             0.32268,            0.057634,            0.014234,            0.023181,            0.002011,           0.0015259,             0.00901,             0.00901,             0.00901
                  22,            0.044318,           0.0092652,            0.010148,            0.058343,             0.58333,            0.093554,             0.02995,            0.021585,           0.0017825,           0.0018567,           0.0089605,           0.0089605,           0.0089605
                  23,            0.042337,           0.0093126,            0.011057,            0.004268,             0.66667,             0.13307,            0.069076,             0.01777,           0.0035306,           0.0026454,            0.008911,            0.008911,            0.008911
                  24,            0.044864,           0.0095808,            0.010134,           0.0042823,             0.66667,             0.16916,            0.092376,            0.017588,           0.0022484,           0.0029702,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039212,           0.0090388,           0.0094709,           0.0043993,             0.65278,            0.036524,            0.021678,            0.021758,           0.0031946,            0.010731,            0.008812,            0.008812,            0.008812
                  26,            0.037233,           0.0091512,           0.0095502,            0.090696,             0.39805,             0.11066,            0.032324,            0.021741,           0.0021661,           0.0021029,           0.0087625,           0.0087625,           0.0087625
                  27,            0.040103,           0.0094116,           0.0087537,           0.0060351,             0.66667,            0.038722,            0.020743,            0.016547,           0.0022948,           0.0064282,            0.008713,            0.008713,            0.008713
                  28,            0.037443,           0.0089694,           0.0090522,             0.39459,             0.32099,             0.10033,            0.032702,            0.020134,           0.0022953,           0.0010955,           0.0086635,           0.0086635,           0.0086635
                  29,            0.038762,            0.009263,           0.0082891,             0.42949,              0.3966,            0.099539,            0.038921,            0.019922,           0.0022655,           0.0010471,            0.008614,            0.008614,            0.008614
                  30,            0.039723,           0.0092257,           0.0079192,            0.066818,             0.27315,             0.10367,            0.037486,            0.019054,           0.0024704,          0.00067656,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03766,           0.0092267,           0.0084123,            0.052166,             0.35957,             0.10396,            0.060288,            0.021198,            0.005777,            0.017854,            0.008515,            0.008515,            0.008515
                  32,            0.040086,           0.0089858,           0.0075806,            0.013472,             0.38117,            0.083814,            0.041883,            0.031382,           0.0051149,            0.029171,           0.0084655,           0.0084655,           0.0084655
                  33,            0.038264,           0.0091245,           0.0083364,            0.022911,             0.63889,             0.11479,            0.053398,            0.021051,           0.0023852,            0.010137,            0.008416,            0.008416,            0.008416
                  34,             0.03906,           0.0090257,           0.0082299,            0.093283,             0.46764,             0.14239,            0.070536,             0.01886,           0.0031563,          0.00017992,           0.0083665,           0.0083665,           0.0083665
                  35,            0.039776,           0.0088865,           0.0084572,            0.083505,             0.37796,            0.095417,            0.027438,            0.021028,           0.0024607,          0.00072477,            0.008317,            0.008317,            0.008317
                  36,            0.038328,           0.0091556,           0.0077815,            0.010816,              0.1358,            0.049789,           0.0064316,            0.037652,           0.0031881,            0.031966,           0.0082675,           0.0082675,           0.0082675
                  37,            0.038743,              0.0092,           0.0073223,             0.02209,             0.47377,            0.065436,            0.017807,            0.028111,           0.0021354,           0.0031656,            0.008218,            0.008218,            0.008218
                  38,            0.037262,            0.008968,           0.0086589,            0.019049,             0.66667,             0.10313,            0.057677,             0.01905,           0.0023798,           0.0076919,           0.0081685,           0.0081685,           0.0081685
                  39,            0.038202,           0.0090608,           0.0080353,            0.081822,             0.33036,             0.10716,            0.037892,            0.021221,           0.0025344,           0.0012488,            0.008119,            0.008119,            0.008119
                  40,            0.037971,           0.0087056,           0.0081352,             0.10917,             0.38117,             0.14326,            0.048831,            0.020058,           0.0024962,           0.0010162,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041861,           0.0093148,           0.0081086,             0.01893,             0.47531,            0.080303,            0.022371,            0.025729,           0.0033423,            0.026627,             0.00802,             0.00802,             0.00802
                  42,            0.038034,           0.0089758,           0.0094094,             0.08986,             0.58333,             0.13625,            0.074478,            0.017511,           0.0024237,           0.0018748,           0.0079705,           0.0079705,           0.0079705
                  43,            0.036351,           0.0089865,           0.0083412,            0.082006,             0.31327,             0.12024,            0.040273,            0.019809,           0.0022761,          0.00092028,            0.007921,            0.007921,            0.007921
                  44,            0.038161,            0.008728,           0.0075136,             0.12282,              0.2392,              0.1276,            0.040218,            0.019839,            0.002078,          0.00093983,           0.0078715,           0.0078715,           0.0078715
                  45,            0.037292,           0.0086778,           0.0074483,            0.050647,             0.12346,            0.074058,            0.023834,            0.026128,           0.0034183,            0.033189,            0.007822,            0.007822,            0.007822
                  46,            0.042502,           0.0092406,           0.0072313,            0.009848,             0.66667,             0.08888,             0.04776,            0.016588,           0.0033313,             0.01213,           0.0077725,           0.0077725,           0.0077725
                  47,            0.036989,           0.0092631,           0.0084025,            0.085569,              0.4321,             0.12987,            0.047481,            0.020062,            0.002523,           0.0008572,            0.007723,            0.007723,            0.007723
                  48,            0.037639,           0.0087611,           0.0073963,            0.087553,             0.37047,             0.10297,            0.028103,            0.019884,            0.002227,          0.00042318,           0.0076735,           0.0076735,           0.0076735
                  49,            0.036301,           0.0089562,           0.0072842,             0.43012,             0.48611,             0.11892,            0.035403,            0.019563,           0.0026358,          0.00025313,            0.007624,            0.007624,            0.007624
                  50,            0.036052,           0.0089528,           0.0073257,             0.11045,             0.47222,             0.15063,            0.054332,            0.018034,           0.0029038,          0.00023245,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038197,           0.0092101,           0.0074398,            0.093567,             0.43519,             0.11864,            0.035489,            0.019068,           0.0025959,          0.00025038,            0.007525,            0.007525,            0.007525
                  52,             0.03898,           0.0091488,           0.0067077,             0.12225,             0.46296,             0.15265,            0.050913,            0.016475,           0.0023183,          0.00023971,           0.0074755,           0.0074755,           0.0074755
                  53,            0.034835,            0.008984,           0.0071217,             0.10282,             0.36966,             0.13483,            0.046499,            0.018168,           0.0024318,          0.00070055,            0.007426,            0.007426,            0.007426
                  54,            0.030901,           0.0086771,           0.0076865,            0.071293,             0.24228,             0.09969,             0.03891,            0.019556,           0.0022845,           0.0010078,           0.0073765,           0.0073765,           0.0073765
                  55,            0.035882,           0.0090253,           0.0066314,            0.036534,             0.32253,            0.080037,            0.048658,            0.016023,           0.0022441,           0.0076724,            0.007327,            0.007327,            0.007327
                  56,            0.033594,           0.0085022,           0.0078274,            0.091331,              0.2716,             0.10424,            0.038051,            0.020452,           0.0023337,           0.0017047,           0.0072775,           0.0072775,           0.0072775
                  57,            0.035218,           0.0089937,           0.0064734,            0.074719,             0.32742,             0.11486,            0.044666,            0.019408,           0.0028831,          0.00012812,            0.007228,            0.007228,            0.007228
